area,name,lat,long,status,note,location
上北沢,48-2,35.669526,139.61676,0,○,都立中部総合精神保健福祉センタ－北側
上北沢,48-3,35.665307,139.61912,0,○,松沢けやき広場
上北沢,48-4,35.667078,139.621467,0,○,都立松沢病院東側
八幡山,48-5,35.668484,139.61665,0,○,八幡山こぶし広場北側
八幡山,48-6,35.664736,139.616652,0,○,八幡山三丁目公園北側
八幡山,48-7,35.663572,139.61583,0,○,個人宅南側
八幡山,49-1,35.661402,139.621475,0,○,八幡山はなもも広場西側
八幡山,49-2,35.66316,139.619473,0,○,八幡山公園東側
上北沢,49-3,35.6615035,139.6246759,0,○,上北沢一丁目公園南側
八幡山,49-4,35.6621207,139.6213097,0,○,八幡山小学校西側
上北沢,49-5,35.663591,139.624255,0,○,松沢保育園南側
八幡山,49-6,35.659726,139.614931,0,○,東京都動物愛護相談センター西側
八幡山,49-7,35.66048,139.620648,0,○,山下こども公園西側
八幡山,49-8,35.66041,139.623493,0,○,希望丘東公園北側
船橋,50-1,35.656214,139.618906,0,○,船橋希望中学校北側
船橋,50-2,35.655831,139.622773,0,○,希望丘小学校東側
船橋,50-3,35.6581721,139.6185949,0,○,UR都市機構希望ヶ丘団地西側
船橋,50-4,35.657341,139.619585,0,○,UR都市機構希望ヶ丘団地南側
船橋,50-5,35.656666,139.6219544,0,○,希望丘小学校北側
船橋,50-6,35.6557323,139.6197426,0,○,船橋希望中学校東側
船橋,50-7,35.655022,139.622822,0,○,世田谷船橋郵便局東側
船橋,50-8,35.6575811,139.6228698,0,○,葭根公園南側
船橋,51-1,35.6524264,139.6236373,0,○,都立千歳丘高等学校西側
船橋,51-2,35.656009,139.629138,0,○,世田谷船橋郵政社宅北側
船橋,51-3,35.648866,139.623341,0,○,個人宅東側
船橋,51-4,35.654551,139.627384,0,○,区立船橋東保育園南側
船橋,51-5,35.655071,139.625309,0,○,西経堂児童遊園入口側
船橋,51-6,35.651667,139.624867,0,○,都立千歳丘高等学校南側
船橋,51-7,35.6490808,139.6250326,0,○,船橋一丁目広場東側
